Text,Sentiment
Barely room for anything else than sleep.,negative
There was also  garbage in our kitchen - there were isntant coffee packages left from previous customers.,negative
and hip and CLEAN!,positive
Room are cosy wtih terrific temperature control ,positive
The same counts for the bathroom especially the shower was great ,positive
restroom and shower are extremely good! lighting as well ,positive
a bit tight to make people either pay or leave yr room.,negative
Wallpaper is peeking off in places.,negative
The bed was soooo comfy.,positive
"The bed was highly uncomfortable, although the engineer fixed it",negative
"Very uncomfortable, thin mattress, with plastic cover that rustles every time you move.",negative
Microwave needed!,negative
Room was not cleaned even once during our stay.,negative
the windows are only single glazed so the heat could escape- although to be fair it was -6 outside!,negative
ac was terrible,negative
In the shower it was turned down as cold as it could be and it was still hotter than I would usually have it.,negative
No elevator.,negative
Comfortable bed and selection of pillows.,positive
The elevators were fast - never we had to wait long for a one.On 15th floor the city noise was not bothering at all and after the whole day walking around we were sleeping execellent.,positive
"Bathroom was way too retro.......shower was very poor... no hand shower, poor water pressure and way too narrow.......It also had a plastic curtain which for a $650 dollar hotel room is way too nasty.",negative
The bed was terrible and not comfortable at all,negative
there was a building under construction across the road which was extremely noisy throughout the day.,negative
Noisy noisy suite on 4th floor.,negative
Room too small to open suitcase.,negative
"My room was pretty soulless, although it did have a great view.",negative
Rooms are cold and you can't adjust the temperature and also heating works only a few hours in the morning.,negative
Rooms too small.,negative
Bathroom area sizeable would have already nice wtih a bathtub ,positive
this was unlikely Development_Mechanisms_CDM Towels and room cleaned Every day ,positive
no elevator might be a challenge for some people,negative
Everything was very clean.,positive
"After that time, mostly quiet apart from some door slamming by other guests.",negative
Has most things you need ,positive
"Bathroom was extra small,",negative
Bathroom and shower were very good! Lighting as as ,positive
Dimly lit.,negative
"The rooms are extremely small, practically only a bed.",negative
Room was very spacious,positive
The bed was very relaxed and rooms minimalistic,positive
The Same counts for the bathroom particularly the showers was great ,positive
Bewitching rooms bed was so comfortable!,positive
Carpets are coming unstitched.,negative
we only had 7 channels which four of them werent in english.,negative
Only negative was the old and very loud air conditioning in the rooms.,negative
The bed was very relaxing and room minimalist,positive
Mattress very comfortable.,positive
this was likely Clean Towels and room cleaned every day ,positive
Windows haven't been cleaned for years (if ever).,negative
"I loved that there was a coffee shop
underneath, and it closed at 12am every night, so that I can get my late
night coffee, if I wanted.",positive
"Only one elevator ,",negative
"Showers could do with some renovations - they seem clean,",negative
The rooms was a nice size big sufficient for Both my and my friend's huge suitcases to fit on the floor and for us to still move around ,positive
Insufficient and hard to reach plugs to charge devices.,negative
"King Room was spacious with plenty of room to spread out and unpack, especially awesome for an extended stay.",positive
Never_Seen the elegant art art_deco ambiance ,positive
The hotel  advertised AC as one of its amenities in its booking.com descriptions!,negative
Location anda facilities,positive
bathroom and shower are very good! Lighting as well ,positive
Bathroom sink tap leaked and aircon didn't work properly,negative
"clean and tidy.
",negative
The bed was very relaxing and room minimalist,positive
Loved the elegantly art art_deco ambiance ,positive
The gym was very small and basic,negative
"Lovely room, bed was so comfortable!",positive
The heating was unbelievably noisy during the night.,negative
Furniture extremely relaxed ,positive
Hallways to room stale and didn't feel clean.,negative
The TV was not working.,negative
"Corridors filthy
Room filthy
Electrical cables in room not safe
Whole building smelly
Shower repulsive",negative
The only area of improvement would be the fitness center.,negative
The bed was super comfortable and the tub wtih jets was amazing too ,positive
everything was extremely Clean ,positive
"Detest the glass ""door"" if shower/tub .. with?",negative
No tea or coffee making facilities in the rooms,negative
someone must have been smoking in the room next door.,negative
The front entrance could use some curb appeal.,negative
Just one bed so in your room you always have to sit on the bed.,negative
Facilities were great.,positive
The bed was extremely snug & the room roomy ,positive
"Terrible, small cubbyholes, which are marketed as rooms.",negative
"Rooms quite small for price, especially if you use a travel cot.",negative
No walls mean oher guests being loud at all hrs.,negative
Bath and shower were in poor condition and didn''t hold the water.,negative
Shared restrooms do not support many rooms and/or many people.,negative
"Bathroom and shower were very good!, lighting as well.",positive
The towels had holes in them.,negative
great soundproofing to windows) great showerroom with excellent hot shower good air con free wifi and coffee manufacturer ,positive
Has themost thing you needed ,positive
We actually enjoyed how small our room was because we knew about it ahead of time and wanted to try something really different.,positive
Rooms are unblemished and Classy ,positive
"Some have small televisions, flat screen, or the old 1990's tube, as well as, some of the rooms do not have that amenity.I usually book a double room, which thus far comes with a window and is a bit more spacious.The single rooms are much smaller, yet comfortable.",positive
"The building was under renovation,",positive
Mattresses and linens were all great.,positive
Rooms were spotless and classy.,positive
Furniture extremely relaxed ,positive
It was very not comfortable.,positive
Pay extra.. :( Room was tiny,negative
walls seem to have no sound insulation,negative
Bathroom area sizeable would 've been nice wtih a bathtub ,positive
Room was extremely cramped.,negative
The air-con was too noisy to leave on for too long.,negative
"The room was a nice size, big enough for both my and my friend's huge suitcases to fit on the floor and for us to still move around.",positive
The same counts for the bathroom especially the showers was terrific ,positive
The memory foam mattress - we all agreed the best night's sleep in a hotel EVER...,positive
Very comfortable beds.,positive
The rooms was a nice sized big enough for both my and my friend's huge suitcases to fit on the floor and for us to still moves around ,positive
Has themost thing you needed ,positive
Only cold water came out.,negative
"bed, smell.",negative
The hotels was extremely Clean ,positive
Rio_Nuevo_Multipurpose are terrific ,positive
it was freezing cold in my room for the night I stayed.,negative
Extremely roomy rooms calm and very comfortable ,positive
#NAME?,negative
No air conditioning.,negative
I called and they just hadn't received the shipment of clean towels.,negative
"The bathrooms have frosted glass walls,not private at all.",negative
"It's much more potent and pleasant than
any Febreeze scent.
",positive
Air conditioning working fine.,positive
5 star qualiity towels and linen.,positive
"Barely a few degrees warmer than outside during winter, so I had to rug up and wear shoes to use the toilet.",negative
"The bed is really terrible,especially the blanket is heavy and terrible terrible quality.",negative
The room was interior so no traffic noise.,positive
"The room had cable TV, a safe, an iron, a hairdryer and free coffee & tea in the downstairs area.",positive
Facilities were very clean.,positive
"Very large for Manhattan with good sized bed, flat screen TV & ample closet.",positive
Shows some wear and tear.,negative
The Bed was SUPER COMFY !,positive
The bed was extremely relaxing and room minimalistic,positive
The room itself was very clean.,positive
The Same counts for the restroom particularly the shower was great ,positive
